"Cycle","Well","RFU","Dilu","Repli","probe","sp","Neg"
4,"B9",0.87392581287213,2,9,"Cbp","Fex",FALSE
4,"B10",-3.25421886322147,2,10,"Fex","Fex",FALSE
4,"B11",1.6280675009275,2,11,"Fex","Fex",FALSE
4,"B12",-0.544662957592664,2,12,"Fex","Fex",FALSE
4,"C1",3.91847416898327,3,1,"CbeA","Cbe",FALSE
4,"C2",-9.02037371405459,3,2,"CbeA","Cbe",FALSE
4,"C3",4.53400079881794,3,3,"CbeA","Cbe",FALSE
4,"C4",-4.89945924503809,3,4,"CbeB","Cbe",FALSE
4,"C5",5.25774688687125,3,5,"CbeB","Cbe",FALSE
4,"C6",3.46895592612873,3,6,"CbeB","Cbe",FALSE
4,"C7",1.24434865352487,3,7,"Cbp","Fex",FALSE
4,"C8",2.39617689518855,3,8,"Cbp","Fex",FALSE
4,"C9",-3.82676108725491,3,9,"Cbp","Fex",FALSE
4,"C10",5.03456187704433,3,10,"Fex","Fex",FALSE
4,"C11",-1.04499735871559,3,11,"Fex","Fex",FALSE
4,"C12",-5.51107850249355,3,12,"Fex","Fex",FALSE
4,"D1",2.06159685512375,4,1,"CbeA","Cbe",FALSE
4,"D2",-2.18912670781538,4,2,"CbeA","Cbe",FALSE
4,"D3",1.1880656068497,4,3,"CbeA","Cbe",FALSE
4,"D4",3.23644849820175,4,4,"CbeB","Cbe",FALSE
4,"D5",5.27886312982264,4,5,"CbeB","Cbe",FALSE
4,"D6",6.53640628092398,4,6,"CbeB","Cbe",FALSE
4,"D7",-0.524129737315889,4,7,"Cbp","Fex",FALSE
4,"D8",1.32987576350206,4,8,"Cbp","Fex",FALSE
4,"D9",-4.55541612840352,4,9,"Cbp","Fex",FALSE
4,"D10",-0.445313324287781,4,10,"Fex","Fex",FALSE
4,"D11",-1.68434676167726,4,11,"Fex","Fex",FALSE
4,"D12",4.82437903054688,4,12,"Fex","Fex",FALSE
4,"E1",0.449729557720275,5,1,"CbeA","Cbe",FALSE
4,"E2",-7.24466530839072,5,2,"CbeA","Cbe",FALSE
4,"E3",-6.182655931093,5,3,"CbeA","Cbe",FALSE
4,"E4",-8.4886635373623,5,4,"CbeB","Cbe",FALSE
4,"E5",-2.24916244081214,5,5,"CbeB","Cbe",FALSE
4,"E6",3.86754568211563,5,6,"CbeB","Cbe",FALSE
4,"E7",-1.84412518804356,5,7,"Cbp","Fex",FALSE
4,"E8",-2.16793812647802,5,8,"Cbp","Fex",FALSE
4,"E9",-1.89686479083593,5,9,"Cbp","Fex",FALSE
4,"E10",-7.83793673673154,5,10,"Fex","Fex",FALSE
4,"E11",0.575163399540543,5,11,"Fex","Fex",FALSE
4,"E12",2.809669290903,5,12,"Fex","Fex",FALSE
5,"A1",8.07791581053698,1,1,"CbeA","Cbe",FALSE
5,"A2",-0.0413041327019528,1,2,"CbeA","Cbe",FALSE
5,"A3",17.3459033777135,1,3,"CbeA","Cbe",FALSE
5,"A4",6.51297389399315,1,4,"CbeB","Cbe",FALSE
5,"A5",13.1750995796447,1,5,"CbeB","Cbe",FALSE
5,"A6",-1.95695050622362,1,6,"CbeB","Cbe",FALSE
5,"A7",2.15992599951869,1,7,"Cbp","Fex",FALSE
5,"A8",4.72041399335285,1,8,"Cbp","Fex",FALSE
5,"A9",-0.924053742489832,1,9,"Cbp","Fex",FALSE
5,"A10",5.42005142335984,1,10,"Fex","Fex",FALSE
5,"A11",9.47941748298763,1,11,"Fex","Fex",FALSE
5,"A12",7.25588672012691,1,12,"Fex","Fex",FALSE
5,"B1",4.9417545976994,2,1,"CbeA","Cbe",FALSE
5,"B2",14.6166189428923,2,2,"CbeA","Cbe",FALSE
5,"B3",4.15446037616948,2,3,"CbeA","Cbe",FALSE
5,"B4",1.34562208364878,2,4,"CbeB","Cbe",FALSE
5,"B5",4.71147690509952,2,5,"CbeB","Cbe",FALSE
5,"B6",1.96000364669544,2,6,"CbeB","Cbe",FALSE
5,"B7",-2.08849126570158,2,7,"Cbp","Fex",FALSE
5,"B8",3.74143100315268,2,8,"Cbp","Fex",FALSE
5,"B9",1.40346952787968,2,9,"Cbp","Fex",FALSE
5,"B10",6.87814275581786,2,10,"Fex","Fex",FALSE
5,"B11",1.47080679411556,2,11,"Fex","Fex",FALSE
5,"B12",8.4169337540161,2,12,"Fex","Fex",FALSE
5,"C1",3.97876923091371,3,1,"CbeA","Cbe",FALSE
5,"C2",-10.2539329278507,3,2,"CbeA","Cbe",FALSE
5,"C3",5.44606273036061,3,3,"CbeA","Cbe",FALSE
5,"C4",16.4833166060362,3,4,"CbeB","Cbe",FALSE
5,"C5",0.520304816092903,3,5,"CbeB","Cbe",FALSE
5,"C6",6.63930001292374,3,6,"CbeB","Cbe",FALSE
5,"C7",-1.54116626021414,3,7,"Cbp","Fex",FALSE
5,"C8",-1.73202002439439,3,8,"Cbp","Fex",FALSE
5,"C9",0.503685929881613,3,9,"Cbp","Fex",FALSE
5,"C10",-2.88215169579962,3,10,"Fex","Fex",FALSE
5,"C11",-0.0400798856726396,3,11,"Fex","Fex",FALSE
5,"C12",12.4737484193929,3,12,"Fex","Fex",FALSE
5,"D1",-2.35310190746532,4,1,"CbeA","Cbe",FALSE
5,"D2",-0.18160582236942,4,2,"CbeA","Cbe",FALSE
5,"D3",2.05325690419068,4,3,"CbeA","Cbe",FALSE
5,"D4",5.5639568525321,4,4,"CbeB","Cbe",FALSE
5,"D5",-0.169770243031962,4,5,"CbeB","Cbe",FALSE
